timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1741474800,Mar 08 2025 - 11:00pm,complete,N/A,Melgar,Sporting Cristal,N/A,5,3.00,1.75,1.60,1.74,1,0,1,1,1,0,"17","",4,6,1,0,4,0,1,0,1,3,11,15,3,5,8,10,10,12,50,50,1.81,1.41,1.16,1.51,2.54,54,71,71,13,0,25,88,46,71,12.25,5.00,1.75,3.80,4.00,2.10,1.70,2.70,4.95,1.67,2.10,N/A
1741550400,Mar 09 2025 - 8:00pm,complete,N/A,Sport Boys,Universitario,N/A,5,1.75,2.33,1.03,2.26,0,2,2,2,0,2,"","16,34",3,5,4,0,3,0,1,3,2,1,9,14,4,5,5,9,21,13,67,33,1.41,1.83,1.11,1.53,3.21,71,88,71,46,17,42,71,63,100,8.67,4.83,6.50,4.10,1.48,1.33,2.00,3.40,6.75,2.20,1.62,Estadio Nacional de Lima
1741566600,Mar 10 2025 - 12:30am,complete,N/A,Cienciano,Comerciantes Unidos,N/A,5,0.33,0.67,1.43,1.06,3,2,5,2,1,1,"3,88,90'3","30,82",7,6,4,0,4,4,1,3,0,8,16,10,7,5,9,5,11,13,55,45,1.46,1.07,1.76,1.29,3.50,100,100,67,50,34,50,50,84,100,8.67,5.67,1.40,5.00,6.00,1.22,1.70,2.65,4.75,1.91,1.80,Estadio Inca Garcilaso de la Vega
1741636800,Mar 10 2025 - 8:00pm,complete,N/A,Atlético Grau,Los Chankas,N/A,5,1.00,1.00,1.09,1.43,2,1,3,1,1,0,"53,42","89",11,4,1,0,0,0,1,0,0,0,11,9,6,4,5,5,7,2,58,42,1.15,1.17,1.53,1.08,3.17,67,84,42,42,17,42,59,84,84,8.17,2.17,1.38,4.33,8.00,1.26,1.80,2.92,5.50,2.10,1.67,N/A
1741647600,Mar 10 2025 - 11:00pm,complete,N/A,Deportivo Binacional,Juan Pablo II College,N/A,5,1.00,0.00,1.00,0.94,2,0,2,1,1,0,"50,45'2","",8,6,1,1,3,0,1,1,0,3,16,9,5,2,11,7,8,10,56,44,1.43,0.89,1.56,0.96,2.50,34,50,50,34,17,17,33,50,84,5.33,4.33,1.30,5.00,10.00,1.27,1.85,2.95,5.50,2.38,1.53,N/A
1742760000,Mar 23 2025 - 8:00pm,complete,N/A,Los Chankas,Cienciano,N/A,4,0.67,1.00,1.43,1.43,0,0,0,0,0,0,"","",1,9,1,0,2,0,1,0,2,0,7,7,3,1,4,6,14,15,54,46,1.14,1.53,0.00,0.00,3.88,100,100,84,67,38,54,71,100,100,9.92,3.25,2.55,3.40,2.60,1.27,1.80,3.10,6.00,1.62,2.20,Estadio Los Chankas
1743098400,Mar 27 2025 - 6:00pm,complete,N/A,Comerciantes Unidos,Atlético Grau,N/A,6,0.50,1.50,1.06,1.09,2,2,4,1,0,1,"60,70","28,76",6,3,2,0,0,0,1,1,0,0,18,10,6,5,12,5,8,9,52,48,1.13,1.25,1.83,1.17,3.13,75,88,50,25,25,38,63,75,88,9.75,6.50,3.10,3.10,2.25,1.41,2.30,4.00,9.00,1.91,1.80,Estadio Juan Maldonado Gamarra
1743107400,Mar 27 2025 - 8:30pm,complete,N/A,Ayacucho,Melgar,N/A,6,0.80,3.00,0.83,1.60,2,3,5,3,2,1,"44,25","35,76,83",2,4,4,1,1,1,3,2,1,1,9,13,4,5,5,8,16,11,44,56,0.88,1.64,1.03,1.40,2.30,43,65,45,10,10,40,100,35,45,6.15,5.15,5.00,3.70,1.57,1.24,1.85,2.95,7.00,1.83,1.83,Estadio Ciudad de Cumaná
1743193800,Mar 28 2025 - 8:30pm,complete,N/A,Alianza Atlético,Real Garcilaso,N/A,6,1.40,1.00,1.63,1.97,2,4,6,5,2,3,"7,45'5","5,14,34,90'3",5,7,2,1,2,0,1,2,0,2,17,16,9,8,8,8,12,7,53,47,1.07,1.14,2.04,1.82,2.63,65,78,65,20,10,33,78,43,78,7.00,4.95,1.67,3.30,5.00,1.40,2.20,3.50,9.00,2.10,1.67,N/A
1743210000,Mar 29 2025 - 1:00am,complete,N/A,Universitario,Sport Huancayo,N/A,6,2.50,2.00,2.26,1.37,3,1,4,1,1,0,"21,69,86","90'4",8,2,2,0,5,0,0,2,2,3,16,18,5,9,11,9,7,13,50,50,1.76,1.48,1.78,2.00,2.63,55,80,45,25,13,55,68,38,78,10.15,3.95,1.27,4.75,12.00,1.27,1.95,2.90,5.90,2.63,1.44,Estadio Monumental
1743271200,Mar 29 2025 - 6:00pm,complete,N/A,ADT,Alianza Lima,N/A,6,1.60,2.40,1.40,1.89,3,0,3,1,1,0,"18,51,69","",3,2,3,0,3,0,1,2,0,3,10,7,6,3,4,4,17,10,59,41,1.65,2.03,1.33,0.90,3.60,70,90,80,50,20,70,90,30,70,9.80,4.60,1.48,3.90,6.00,1.22,1.85,3.00,5.75,1.91,1.80,N/A
1743280200,Mar 29 2025 - 8:30pm,complete,N/A,Sporting Cristal,Deportivo Binacional,N/A,6,1.40,1.50,1.74,1.00,5,0,5,1,1,0,"35,54,47,73,86","",12,3,2,0,4,0,1,1,3,1,28,6,7,2,21,4,17,12,57,43,1.43,1.46,2.62,0.77,2.95,55,80,68,35,13,33,65,48,80,10.75,5.70,1.11,7.50,17.00,1.11,1.33,1.87,2.80,2.10,1.67,Estadio Alberto Gallardo
1743289200,Mar 29 2025 - 11:00pm,complete,N/A,Deportivo Garcilaso,Sport Boys,N/A,6,2.20,1.40,1.49,1.03,4,0,4,1,1,0,"10,47,60,81","",3,2,2,0,3,0,1,1,2,1,15,13,6,3,9,10,15,8,36,64,1.13,1.35,1.50,1.31,2.70,60,80,60,30,10,60,70,40,80,7.40,7.60,1.45,3.90,7.00,1.22,1.75,2.80,5.14,1.83,1.83,Estadio Inca Garcilaso de la Vega
1743357600,Mar 30 2025 - 6:00pm,complete,N/A,Los Chankas,Alianza Universidad,N/A,6,0.75,0.40,1.43,0.80,3,1,4,1,1,0,"90'2,32,90'5","65",2,3,3,0,1,0,1,2,0,1,11,11,8,3,3,8,10,7,52,48,1.14,1.67,1.53,1.15,2.93,68,78,65,53,20,43,65,58,58,9.20,2.20,1.91,3.40,3.70,1.22,1.67,2.63,4.90,1.57,2.25,Estadio Los Chankas
